Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ68774.1	182	112	118	95	108	98	70	173	123	153	169	59
cds-CAJ68775.2	0	2	0	4	6	0	7	52	27	51	52	58
cds-CAJ68776.1	105	93	116	76	59	20	63	64	56	161	78	79
cds-CD630_19020	86	52	94	60	50	21	76	52	61	189	79	63
cds-CAJ68778.1	38	25	34	52	33	2	30	138	245	325	276	206
cds-CAJ68779.1	27	21	10	16	3	13	24	52	92	469	159	365
cds-CD630_19270	74	43	22	20	9	38	52	39	79	479	122	212
cds-CAJ68781.1	38	13	35	26	10	8	25	70	186	1304	404	559
cds-CAJ68782.1	0	0	0	0	0	0	0	0	0	0	0	10
cds-CAJ68783.1	52	40	37	22	32	16	65	95	76	155	166	87
cds-CAJ68784.1	486	303	147	177	70	37	452	118	130	179	130	124
cds-CAJ68785.1	648	494	230	315	203	125	728	291	358	621	512	419
cds-CAJ68786.1	1634	1046	775	741	483	130	1212	850	927	1634	1198	890
cds-CAJ68787.1	571	392	172	333	132	68	343	727	825	1327	1005	615
cds-CAJ68788.1	157	85	3	34	2	14	721	13	20	35	0	12
cds-CAJ68789.1	116	83	7	38	28	12	720	29	20	35	14	24
cds-CAJ68790.1	59	58	12	26	16	19	354	4	0	20	20	26
cds-CAJ68791.1	81	36	20	34	12	21	347	4	20	32	26	23
cds-CAJ68792.1	20	0	1	0	2	11	134	6	15	25	10	7
cds-CAJ68793.1	227	94	21	80	32	45	1063	50	50	93	55	41
cds-CAJ68794.1	53	4	6	9	6	7	96	4	8	4	0	0
cds-CAJ68795.1	14	14	12	18	4	10	124	12	16	22	14	7
cds-CAJ68796.1	28	14	6	14	16	6	122	16	15	36	6	7
cds-CAJ68797.1	6	0	0	3	1	1	36	7	17	9	17	12
cds-CAJ68798.1	24	3	1	8	4	7	85	9	10	32	12	16
cds-CAJ68799.1	3	4	0	0	8	1	10	8	2	9	2	1
cds-CAJ68800.1	51	42	39	35	6	2	210	27	25	77	29	24
cds-CAJ68801.1	24	38	7	22	8	14	84	23	27	58	38	27
cds-CD630_19260	0	0	0	0	0	0	0	5	15	37	14	25
cds-CAJ68803.1	0	2	0	0	0	0	8	223	749	7642	1568	2354
cds-CAJ68804.1	18	6	4	11	4	4	34	226	464	4735	1192	1168
cds-CAJ68805.1	429	411	486	166	151	18	178	342	897	8263	1545	1971
cds-CAJ68806.2	2831	3042	4158	3217	4245	2982	2153	3860	3424	4180	7201	5645
cds-CAJ68807.1	1000	950	1265	1279	1399	557	983	1931	2381	3202	5492	2977
cds-CAJ68808.1	93	68	99	111	67	21	42	1337	1769	1249	2361	1946
cds-CAJ68809.1	642	517	562	824	407	182	559	2064	2250	1994	3619	2146
cds-CAJ68810.1	10436	7437	8480	8419	8749	4468	9090	11137	10990	15317	15810	12802
cds-CAJ68811.1	7310	7003	7161	6907	5904	311	6071	8520	5339	7311	3647	1936
cds-CAJ68812.1	8338	8280	8952	9924	7646	485	8491	14174	8907	12296	5628	2803
cds-CAJ68813.1	16674	14978	17081	19281	13247	912	16691	30160	19277	27538	11048	6636
cds-CAJ68814.1	12918	11838	14939	13332	12002	1027	12748	16366	9396	15524	6052	3519
cds-CAJ68815.1	0	0	0	1	0	0	2	196	528	5678	1283	2251
cds-CCA62837.1	3	44	37	22	24	2	25	167	127	203	136	196
cds-CAJ68816.1	104	79	73	172	123	28	122	2267	5729	12319	12614	6991
cds-CAJ68817.2	89	142	160	99	141	10	75	236	281	255	357	175
cds-CAJ68818.1	1441	1955	4235	1832	3541	4463	1518	3336	2912	2666	4649	2056
cds-CD630_19440	735	628	894	753	829	178	596	775	485	603	623	535
cds-CAJ68820.1	95	111	142	155	145	13	114	1143	1119	1100	1226	662
cds-CAJ68821.1	70	59	46	87	38	14	48	894	893	807	874	594
cds-CAJ68822.2	68	57	51	36	33	6	46	39	26	114	66	38
cds-CAJ68823.1	46	35	60	47	36	12	38	129	123	200	151	114
cds-CAJ68824.1	75	39	14	61	11	10	26	138	141	265	327	276
cds-CCA62838.1	3	3	1	1	1	1	2	7	10	8	18	13
cds-CAJ68825.1	1053	907	963	926	767	149	863	870	766	1231	1065	732
cds-CAJ68826.1	74	125	104	98	60	45	109	286	221	322	313	411
cds-CAJ68827.1	21	38	30	25	30	14	17	79	106	166	186	182
cds-CAJ68828.1	3225	3233	4202	2683	3532	509	2024	2074	2666	2877	3755	4227
cds-CAJ68829.1	352	282	404	467	378	248	300	1065	1075	1304	1690	1376
cds-CAJ68830.1	178	173	150	175	176	112	175	259	226	248	369	343
cds-CAJ68831.1	42	24	32	65	32	33	29	280	290	307	510	354
cds-CAJ68832.1	31	17	21	43	17	28	20	112	74	42	158	110
cds-CAJ68833.1	1643	1175	1735	1658	1840	860	1772	2900	2878	2971	4676	3592
cds-CAJ68834.1	23	20	24	48	47	23	28	667	690	478	1206	868
cds-CAJ68835.1	86	63	76	137	94	56	69	800	749	606	1347	899
cds-CAJ68836.1	237	197	294	337	441	237	280	701	630	591	1142	792
cds-CAJ68837.1	41	45	26	44	45	28	40	570	482	563	948	627
cds-CAJ68838.1	1085	798	1520	1355	1516	584	930	1260	1053	1218	2107	1489
cds-CAJ68839.1	237	249	281	428	374	157	239	995	851	1055	1724	1155
cds-CAJ68840.1	122	151	168	185	164	55	192	295	430	760	609	264
cds-CAJ68841.1	123	154	113	148	133	22	78	277	431	754	562	250
cds-CAJ68842.1	14	26	26	108	98	94	89	1181	2617	4027	4860	5116
cds-CAJ68843.1	3491	2989	4934	4404	5031	4753	4419	7708	4155	5043	10002	4619
cds-CAJ68844.1	662	537	987	955	961	1011	774	2270	1324	1272	3340	1718
cds-CAJ68845.1	1339	1325	1915	1787	2231	2381	1960	2888	1582	1762	3927	2091
cds-CAJ68846.2	264	206	269	215	315	42	164	652	635	773	706	497
cds-CAJ68847.2	4295	4077	3838	3134	3504	648	3361	4915	4916	6778	5049	2778
cds-CAJ68848.1	3185	3188	2868	2630	2852	346	2726	3907	3962	2967	3486	1895
cds-CAJ68849.1	1362	1628	1697	1886	1504	340	1553	1855	1427	1079	1855	1862
cds-CAJ68850.2	2413	1695	1620	2043	1302	382	1895	3347	3261	2975	3294	1820
cds-CAJ68851.1	2729	1996	1673	2629	1443	475	2265	7356	7934	7055	7622	3680
cds-CAJ68852.2	5087	3505	3472	3806	2690	914	4327	7004	7319	6033	7981	5008
cds-CAJ68853.1	423	507	1068	445	639	396	340	1219	643	885	940	808
cds-CAJ68854.1	2027	2209	4358	1995	2673	1517	1734	3102	1688	3243	3452	2045
cds-CAJ68855.1	1082	1124	2255	1086	1079	842	1024	1825	830	1668	1668	1265
cds-CAJ68856.1	311	308	603	299	332	284	260	293	167	303	373	270
cds-CAJ68857.1	0	2	0	0	0	6	3	9	30	33	25	17
cds-CD630_19820	10	2	8	9	5	14	21	33	66	108	94	78
cds-CAJ68859.1	157	128	168	192	127	54	156	298	478	596	663	570
cds-CAJ68860.1	111	159	148	202	147	210	150	637	659	909	1185	1197
cds-CAJ68861.1	1616	1526	1818	1088	1230	84	774	723	985	986	772	248
cds-CAJ68862.1	285	232	458	240	296	60	268	592	1160	2072	1066	783
cds-CCA62839.1	3	6	2	4	1	0	0	13	2	2	1	5
cds-CAJ68863.1	685	525	921	611	678	532	568	768	864	966	1316	846
cds-CAJ68864.1	0	4	2	6	4	0	2	6	10	18	15	28
cds-CAJ68865.1	0	0	0	2	0	0	0	2	21	7	4	15
cds-CD630_19901	32	20	21	16	10	6	8	40	110	32	65	69
cds-CCA62840.1	478	727	1228	1776	1758	8515	1387	522	374	232	612	1907
cds-CAJ68867.1	212	250	309	144	317	44	115	375	692	368	620	469
cds-CCA62841.1	66	85	108	102	87	90	81	254	460	274	435	326
cds-CD630_19910	1	1	6	0	0	1	1	16	30	12	16	20
cds-CAJ68869.1	137	91	172	164	162	149	107	494	768	499	917	870
cds-CAJ68870.1	189	116	125	144	126	77	89	553	301	217	427	645
cds-CAJ68871.1	381	524	606	504	595	210	534	877	505	371	829	672
cds-CAJ68872.1	61	74	93	114	54	34	49	210	82	215	330	243
cds-CAJ68873.2	50	48	70	58	68	14	32	58	39	49	103	35
cds-CCA62842.1	152	72	76	107	143	31	107	185	123	217	176	108
cds-CAJ68874.1	318	254	295	398	398	64	341	869	583	1141	1131	451
cds-CAJ68875.1	226	172	152	301	276	40	271	862	830	1076	1172	436
cds-CAJ68876.1	6293	5489	5384	7867	11636	1010	11986	11455	7005	19812	13210	6123
cds-CAJ68877.1	1851	1863	1979	3057	4129	265	4013	3864	2229	5756	4996	2652
cds-CD630_19981	41	26	18	12	11	3	40	76	29	153	59	5375
cds-CAJ68878.1	731	415	183	158	153	81	314	74	37	88	31	5761
cds-CAJ68879.1	6	8	14	6	12	1	18	42	44	558	116	160
cds-CAJ68880.1	7	0	0	0	0	4	6	4	15	63	16	31
cds-CAJ68881.1	36	30	19	20	36	27	16	19	16	54	45	28
cds-CD630_20021	3	8	13	10	10	0	6	12	9	8	15	4
cds-CAJ68883.1	57	40	22	40	17	27	53	31	34	247	79	64
cds-CAJ68884.1	2667	2319	3312	3196	4018	3953	3086	3237	3692	7178	7596	4109
cds-CD630_20050	93	79	119	94	102	30	95	112	142	155	179	99
cds-CD630_20052	250	197	354	221	358	49	263	300	313	439	380	237
cds-CD630_20051	25	24	21	21	43	2	20	23	13	23	6	10
cds-CD630_20060	29	8	33	23	30	8	28	41	25	49	20	33
cds-CAJ68888.1	21	7	12	21	22	5	21	18	6	8	5	18
cds-CAJ68889.1	200	137	163	170	155	14	126	179	220	369	286	150
cds-CD630_20071	0	0	0	0	0	0	2	0	0	0	0	0
cds-CAJ68891.1	0	0	0	0	0	0	0	0	0	0	0	0
cds-CD630_20090	28	7	29	21	28	7	23	37	24	49	20	32
cds-CAJ68893.1	21	7	11	21	22	5	21	18	6	8	5	18
cds-CAJ68894.1	217	146	176	195	163	17	143	205	248	410	331	163
cds-CAJ68895.1	23	25	21	18	2	1	16	18	20	52	37	16
cds-CD630_20102	2	0	2	0	3	2	0	0	4	6	0	0
cds-CD630_20103	2	0	0	0	2	0	0	0	0	7	4	2
cds-CAJ68897.1	913	828	1212	954	1207	192	866	1791	1348	1749	2386	1189
cds-CAJ68898.1	427	429	617	463	549	114	444	918	716	1103	1267	665
cds-CCA62845.1	0	0	0	0	0	0	0	0	0	0	0	0
cds-CAJ68899.1	344	338	406	382	658	152	452	624	376	981	598	474
cds-CCA62846.1	1	9	6	4	2	2	6	11	28	247	79	124
cds-CAJ68900.1	50	42	50	36	82	10	140	387	315	303	262	255
cds-CAJ68901.1	2	1	0	0	6	0	0	57	28	27	19	19
cds-CAJ68902.1	167	165	209	231	135	122	101	283	265	198	262	405
cds-CCA62847.1	64	44	9	31	11	13	17	80	55	47	65	94
cds-CAJ68903.1	50	33	6	48	15	6	17	178	203	347	348	218
cds-CAJ68904.1	495	240	129	100	78	37	242	194	198	473	294	174
cds-CAJ68905.1	1507	1060	1465	1202	1644	4401	1135	1971	1998	3071	4221	3231
cds-CAJ68906.1	27	17	29	32	17	105	25	262	252	394	733	436
cds-CAJ68907.1	27	26	14	31	28	117	28	111	110	78	188	199
cds-CAJ68908.1	73	82	91	74	110	38	67	59	73	85	147	96
cds-CAJ68909.1	97	86	92	92	74	37	106	237	97	195	337	320
cds-CAJ68910.1	5	4	7	9	10	0	1	47	65	64	109	179
cds-CAJ68911.1	157	99	76	107	62	23	114	214	182	192	356	287
cds-CAJ68912.1	1409	860	1120	762	815	700	1235	2749	2727	1772	3551	3010
cds-CAJ68913.1	771	538	675	564	517	312	649	1927	1971	1210	2763	2031
cds-CAJ68914.1	1563	1544	1616	933	692	178	564	794	740	449	673	603
cds-CAJ68915.1	18	10	17	12	20	2	12	12	18	24	19	15
cds-CAJ68916.1	0	4	7	6	4	2	8	4	10	7	24	8
cds-CAJ68917.1	6	8	3	2	12	0	3	2	2	14	6	0
cds-CAJ68918.1	4	2	10	16	20	0	11	6	8	8	22	2
cds-CAJ68919.1	26	12	20	20	36	6	14	34	28	32	50	6
cds-CAJ68920.1	5	0	3	0	4	0	0	18	18	78	56	23
cds-CAJ68921.1	32	10	29	13	16	6	16	41	23	90	46	31
cds-CAJ68922.1	16	0	0	2	2	0	4	4	8	26	12	4
cds-CAJ68923.1	12	0	8	6	0	2	12	5	22	50	12	18
cds-CAJ68924.1	0	0	0	0	1	0	0	3	0	14	3	8
cds-CAJ68925.1	175	139	208	252	106	30	125	315	286	333	252	173
cds-CAJ68926.1	206	169	287	132	170	35	161	339	394	469	361	180
cds-CAJ68927.1	572	363	645	343	311	42	398	621	531	498	563	279
cds-CAJ68928.1	50	73	93	50	66	14	52	96	76	142	112	124
cds-CCA62848.1	0	0	0	0	0	0	0	0	0	0	2	0
cds-CCA62849.1	0	0	0	0	0	0	1	2	1	1	0	1
cds-CAJ68929.1	75	59	43	86	45	13	36	147	201	207	241	175
cds-CAJ68930.1	72	63	48	69	54	10	51	189	223	255	276	188
cds-CCA62850.1	0	2	1	2	4	7	0	15	21	10	21	12
cds-CAJ68931.1	10	6	5	2	0	27	6	84	95	38	73	41
cds-CAJ68932.1	19	2	8	11	0	2	11	8	17	26	26	51
cds-CAJ68933.1	3914	3915	6991	4297	5427	4094	3250	7550	8940	9655	13050	13396
cds-CAJ68934.1	450	445	448	318	351	40	334	314	443	596	309	271
cds-CAJ68935.1	334	269	318	230	221	37	206	167	217	220	174	143
cds-CAJ68936.1	179	120	199	128	132	12	129	303	362	575	411	314
cds-CAJ68937.2	369	342	441	331	332	144	277	286	201	198	290	224
cds-CAJ68938.1	1899	2056	1668	1508	1310	673	1562	1702	1596	1354	2481	1354
cds-CAJ68939.1	698	866	622	566	507	172	509	740	605	559	869	560
cds-CCA62851.1	199	144	118	103	163	121	103	85	25	26	43	97
cds-CAJ68940.1	7	8	3	5	9	4	4	24	64	95	40	118
cds-CAJ68941.1	4984	4340	5035	3118	2736	574	3490	3314	2136	5126	2656	1148
cds-CAJ68942.1	434	332	209	646	195	38	264	1483	1835	1438	1727	1434
cds-CAJ68943.1	134	118	121	91	147	36	57	416	241	226	342	286
cds-CAJ68944.1	11545	9859	13098	10187	9913	2312	10224	12027	9569	14195	14382	7663
cds-CAJ68945.1	841	999	1773	1313	2011	1937	947	3433	4399	4290	7952	8791
cds-CAJ68946.1	1015	1481	3168	1645	3279	3016	1172	2618	3375	3295	6700	6559
cds-CAJ68947.1	699	586	517	694	487	140	796	1998	1718	3218	3795	2618
cds-CAJ68948.1	684	646	521	1062	536	255	1115	1348	1346	2429	2579	1561
cds-CAJ68949.1	4	4	6	2	12	16	1	86	218	88	225	594
cds-CAJ68950.1	218	248	229	1019	398	659	575	1466	831	2621	1988	1134
cds-CAJ68951.1	373	218	357	563	493	276	292	1562	1343	1122	2584	2558
cds-CAJ68952.1	117	143	85	126	104	53	61	274	338	194	389	533
cds-CAJ68953.1	8052	8344	9960	4875	6017	633	5214	5855	7928	6645	6179	3758
cds-CAJ68954.1	1067	1006	1532	581	1026	479	571	749	766	561	773	933
cds-CAJ68955.1	28	30	52	14	16	2	7	152	190	122	284	248
cds-CAJ68956.1	367	288	311	178	172	70	136	290	304	376	369	359
cds-CAJ68957.1	792	601	647	491	391	170	368	555	773	803	869	732
cds-CAJ68958.1	822	693	731	918	729	459	1006	703	723	1409	906	636
cds-CAJ68959.1	59	60	70	145	91	43	142	92	79	223	193	126
cds-CAJ68960.1	67	48	65	169	102	57	185	102	81	173	159	218
cds-CCA62852.1	8	1	12	37	10	21	28	17	19	48	23	28
cds-CAJ68961.1	2538	2246	3170	3379	4486	3944	3136	3073	3097	4318	7017	6091
cds-CAJ68962.1	62	42	85	67	53	34	44	38	91	148	118	114
cds-CAJ68963.1	85	44	41	63	40	45	71	93	85	227	133	91
cds-CAJ68964.1	135	88	94	120	106	31	170	117	166	491	234	150
cds-CAJ68965.1	4	6	2	0	16	6	12	6	18	32	18	22
cds-CAJ68966.2	13	17	3	12	4	3	4	6	4	25	13	10
cds-CAJ68967.2	47	31	33	40	42	8	55	28	72	83	49	31
cds-CAJ68968.1	32	23	14	32	13	16	45	30	41	74	36	31
cds-CAJ68969.1	246	222	193	156	181	38	199	208	253	1482	334	357
cds-CAJ68970.1	170	102	86	106	114	28	110	118	140	804	192	216
cds-CAJ68971.1	33	21	17	2	41	18	13	18	5	52	33	51
cds-CAJ68972.1	332	310	247	226	252	96	249	246	259	595	347	196
cds-CAJ68973.1	32	30	73	32	52	28	34	44	34	106	72	38
cds-CAJ68974.2	88	68	63	68	65	44	124	56	62	136	66	54
cds-CAJ68975.1	47	40	60	44	74	28	69	46	54	114	116	32
cds-CAJ68976.2	42	62	38	82	56	20	73	53	44	62	53	50
cds-CAJ68977.1	2612	2067	2905	3007	2618	1115	1977	2351	2109	2143	3715	3267
cds-CAJ68978.1	26	43	24	40	16	17	40	666	850	617	1056	774
cds-CAJ68979.2	431	373	356	342	350	91	305	1100	1111	972	1482	1080
cds-CAJ68980.1	16	24	14	7	15	2	7	57	47	43	82	93
cds-CAJ68981.1	36	59	57	64	52	16	50	340	439	603	809	646
cds-CAJ68982.1	60	36	53	66	75	16	30	203	179	364	490	408
cds-CAJ68983.1	106	62	38	56	33	19	29	20	43	16	43	46
cds-CAJ68984.1	6593	5568	4618	3193	2247	432	3117	1634	1788	2004	1442	1015
cds-CAJ68985.1	584	454	377	206	212	19	239	129	133	106	117	76
cds-CAJ68986.1	560	436	364	200	189	29	232	266	394	368	408	237
cds-CAJ68987.2	980	1072	1749	850	1720	160	488	1120	916	2436	1864	1194
cds-CCA62853.1	0	0	0	0	0	0	0	4	6	26	12	12
cds-CAJ68988.1	306	184	157	267	123	76	134	288	307	272	609	550
cds-CAJ68989.1	32	21	48	25	28	14	10	210	197	221	423	312
cds-CAJ68990.1	52	32	47	51	20	20	26	76	95	127	181	99
cds-CAJ68991.1	459	494	432	419	240	24	314	362	447	528	364	232
cds-CAJ68992.1	4152	3631	4949	4989	5389	1868	5397	5443	3518	9141	10580	4558
cds-CAJ68993.1	1355	992	1366	1341	1095	381	1034	1903	1907	2308	2470	1955
cds-CAJ68994.1	308	185	220	474	260	112	135	2563	2723	1916	3734	3444
cds-CAJ68995.1	1418	1290	1899	1437	3699	694	1825	2798	1484	2284	3852	3169
cds-CAJ68996.1	314	317	522	452	455	275	339	751	776	900	1366	1231
cds-CAJ68997.1	12	10	28	9	39	6	18	30	21	177	91	47
cds-CAJ68998.1	833	786	1073	1593	1498	357	821	3328	3450	3913	5159	3639
cds-CAJ68999.1	1075	1051	1746	1582	2412	611	1056	1230	1029	1070	1553	1268
cds-CAJ69000.1	466	446	528	678	758	1157	630	989	1289	2280	1900	1054
cds-CCA62854.1	596	966	888	720	796	3423	380	330	108	170	134	52
cds-CCA62855.1	0	0	0	0	0	0	0	0	2	6	2	0
cds-CAJ69001.1	23503	17982	25848	13967	17204	840	9824	10852	15800	13394	12092	4008
cds-CAJ69002.1	399	337	401	280	359	256	276	346	259	265	267	137
cds-CAJ69003.1	1054	675	862	654	435	314	786	1248	2116	2138	6843	2364
cds-CAJ69004.2	1518	1317	1817	1238	989	775	1537	1447	2805	1863	6212	2532
cds-CAJ69005.1	9591	9257	11471	7414	6013	919	6281	5088	5473	5831	6375	2855
cds-CAJ69006.1	33	19	31	17	37	14	42	105	208	1582	303	709
cds-CAJ69007.1	2825	1749	1751	2596	992	230	1656	1500	1663	2578	2365	1943
cds-CAJ69008.1	732	604	847	623	557	184	513	872	828	839	1046	801
cds-CAJ69009.1	830	589	753	811	637	654	516	3142	2340	2209	3601	3334
cds-CCA62856.1	26	19	25	35	11	17	18	185	101	92	148	200
cds-CAJ69010.2	57	90	72	89	89	38	51	110	101	140	186	121
cds-CCA62857.1	23	19	11	43	21	6	18	32	73	43	85	71
cds-CAJ69011.1	352	303	284	396	351	186	338	916	841	916	1422	1091
cds-CCA62858.1	0	1	0	0	1	0	2	3	9	3	6	6
cds-CAJ69012.1	31945	33881	51932	39810	52334	52757	37715	62402	45070	36653	59866	80359
cds-CAJ69013.1	645	614	814	680	622	262	530	828	976	1222	1470	1000
cds-CAJ69014.1	2715	2208	2355	1740	2049	1405	1705	2374	2582	3764	3707	2715
cds-CAJ69015.1	2140	1676	1601	1272	1262	850	1201	2123	2347	2789	3336	2302
cds-CAJ69016.1	145	169	116	101	89	30	69	179	188	276	406	209
cds-CAJ69017.1	269	163	230	296	170	141	186	174	228	189	389	336
cds-CAJ69018.2	119	90	85	86	50	55	63	323	450	657	694	572
cds-CCA62859.1	2	2	3	2	0	0	1	6	6	6	3	15
cds-CAJ69019.1	2759	2116	1983	1967	1349	579	1786	2972	3103	3450	3687	1748
cds-CAJ69020.1	6104	6028	6157	4617	4507	1354	5232	4798	5107	6399	5685	2533
cds-CAJ69021.1	89	114	100	110	83	40	85	846	844	879	867	890
cds-CAJ69022.1	2375	2400	3009	1990	2544	1505	2146	2138	1644	1971	1949	1671
cds-CAJ69023.1	3236	4098	3985	2331	3268	331	2509	2261	2508	2477	1864	763
cds-CAJ69024.1	5935	6404	6894	3470	5979	661	3677	4586	3337	3964	2910	1736
cds-CAJ69025.1	15128	19238	29451	11868	20209	1997	13242	15720	14063	15973	11669	6997
cds-CAJ69026.1	72	40	54	58	60	17	55	65	148	689	152	145
cds-CAJ69027.2	46	30	35	39	38	11	45	58	120	331	94	66
cds-CAJ69028.2	7	8	2	4	6	0	10	26	48	75	44	23
cds-CAJ69029.1	33	11	18	8	8	6	17	78	187	159	92	213
cds-CAJ69030.1	2461	1864	1272	1091	752	35	1033	1725	2421	2249	1970	1157
cds-CAJ69031.1	1663	1618	2065	1705	1921	302	1345	1668	1398	1795	2080	1288
cds-CAJ69032.2	1086	884	653	1715	718	208	750	2773	2353	2776	4410	3135
cds-CAJ69033.1	2192	2076	2042	1105	1014	304	1016	1255	1108	1434	991	1047
cds-CAJ69034.1	8	0	4	6	6	0	2	27	67	305	124	136
cds-CCA62860.1	0	0	0	0	0	0	0	1	10	54	5	22
cds-CAJ69035.2	3923	4312	6794	3188	4286	200	2013	4284	4426	3643	3874	4616
cds-CAJ69036.1	4215	4205	6485	4555	3960	704	2324	7117	5630	5110	7454	4473
cds-CAJ69037.1	6399	5397	8902	5953	8813	903	7224	1886	4717	12054	2419	4398
cds-CAJ69038.1	12932	11451	18322	14645	15835	2161	16083	6055	14242	32534	6950	15600
cds-CAJ69039.2	11944	12073	20199	16263	17495	3085	17050	6456	16550	37826	8798	15380
cds-CAJ69040.1	6534	8404	14430	10834	14299	3601	16322	2416	6791	25970	3216	8909
cds-CAJ69041.1	171	192	290	532	287	175	402	1409	2642	5957	2613	5212
cds-CAJ69042.1	832	634	2222	1417	2710	9524	1597	3351	1967	3394	6053	5868
cds-CAJ69043.1	24	15	31	52	69	26	59	234	234	157	160	226
cds-CAJ69044.1	0	12	12	8	11	2	4	233	247	114	211	258
cds-CAJ69045.1	2	2	2	4	8	9	4	4	24	4	16	14
cds-CAJ69046.1	221	260	244	357	274	170	214	309	202	219	392	336
cds-CAJ69047.1	236	250	246	188	294	76	118	163	160	184	250	254
cds-CCA62861.1	1	0	0	0	0	0	0	5	7	31	27	32
cds-CAJ69048.1	1909	1292	1606	2356	1672	486	2142	3286	1992	2397	3205	2100
cds-CAJ69049.1	461	370	540	493	447	104	321	1124	983	853	1438	694
cds-CAJ69050.1	1276	1346	2326	1763	2957	5556	1223	3372	2631	2700	3857	1506
cds-CAJ69051.1	165	138	133	167	58	24	109	67	101	165	127	78
cds-CAJ69052.1	19202	13163	11170	12536	5743	1096	5642	675	509	859	683	663
cds-CAJ69053.1	2287	1970	1505	1915	773	52	726	59	86	67	54	55
cds-CAJ69054.2	367	239	326	311	240	68	160	379	532	451	589	483
cds-CD630_21710	7917	7099	7836	4482	3956	566	4293	3226	4322	3703	2566	2132
cds-CAJ69056.1	897	954	870	301	319	50	206	180	217	219	167	239
cds-CAJ69057.2	2842	2996	2894	887	990	114	916	607	528	1123	537	656
cds-CAJ69058.1	13818	12870	14361	3771	4189	552	3994	2177	2077	4654	1938	2873
cds-CAJ69059.1	10624	9473	11177	2992	3336	511	3011	2311	2367	5203	2435	3729
cds-CAJ69060.1	7473	6454	7445	2229	2145	220	2184	1810	2323	4032	2161	3159
cds-CAJ69061.1	27065	20678	23594	7261	7403	955	6624	3386	3817	6903	3803	6069
cds-CAJ69062.1	619	531	494	494	349	29	306	233	275	372	297	215
cds-CAJ69063.1	9423	7330	7324	7123	3888	1364	4085	3147	3106	6611	4874	3217
cds-CAJ69064.1	1300	1032	1045	935	701	196	830	2626	3656	5431	4803	4238
cds-CAJ69065.1	11331	9472	7761	10101	6227	1929	8591	9642	9190	8493	10823	15954
cds-CD630_21820	56	35	37	29	24	5	29	39	26	76	85	21
cds-CAJ69067.1	72	73	107	78	86	4	31	121	158	233	138	147
cds-CD630_21840	110	100	86	78	37	36	104	129	197	2127	485	1211
cds-CAJ69069.1	24	10	4	27	10	10	15	60	162	1283	560	553
cds-CAJ69070.1	0	0	2	0	0	0	1	19	58	253	110	155
cds-CAJ69071.1	355	362	273	296	262	50	385	707	586	854	829	532
cds-CAJ69072.1	2121	1723	1738	1748	1303	226	1933	2683	2357	3097	2673	1891
cds-CAJ69073.1	380	314	280	318	285	54	317	548	436	551	479	314
cds-CAJ69074.1	396	397	404	298	336	62	322	734	567	710	573	305
cds-CAJ69075.1	66	54	84	94	57	56	39	266	388	414	641	731
cds-CAJ69076.1	349	338	416	367	290	25	232	322	257	175	233	356
cds-CD630_21930	8186	7133	8947	7679	7248	561	5496	5082	5412	5256	6645	4547
cds-CAJ69078.1	490	362	405	388	236	124	326	771	1057	879	1383	1047
cds-CAJ69079.1	2865	3443	5549	4471	6933	1516	3953	11909	12827	10224	22216	22930
cds-CAJ69080.1	132	83	76	65	97	15	66	132	151	137	179	175
cds-CAJ69081.1	0	0	0	4	2	0	0	1	2	4	12	0
cds-CAJ69082.1	18	6	10	4	16	7	14	0	6	31	17	9
cds-CAJ69083.1	5	4	8	10	10	15	11	9	13	28	12	21
cds-CAJ69084.1	0	4	2	0	0	0	2	1	0	2	4	6
cds-CAJ69085.1	6	5	2	10	14	12	3	9	18	53	8	13
cds-CAJ69086.1	15	14	16	18	0	34	15	16	27	24	17	34
cds-CAJ69087.1	1732	918	956	1780	646	257	1072	2504	2625	3034	3501	2515
cds-CAJ69088.1	1710	1044	1134	1688	865	368	1416	2196	1939	2271	2850	2193
cds-CAJ69089.1	278	201	317	280	428	185	229	518	611	351	936	450
cds-CAJ69090.1	520	412	299	918	328	423	407	4376	4294	3639	7095	6966
cds-CAJ69091.1	582	393	421	399	206	74	339	370	471	708	669	397
cds-CAJ69092.1	218	213	265	191	122	56	167	195	222	317	261	393
cds-CAJ69093.1	427	452	432	316	273	53	249	321	245	285	434	456
cds-CAJ69094.1	2484	1542	3146	1664	1142	369	1055	1607	2359	1619	1724	1009
cds-CAJ69095.1	2335	2357	5063	2716	7310	441	1894	5945	3851	4332	4344	2124
cds-CAJ69096.1	2845	2897	6829	3419	10340	313	2182	6333	4140	4800	4372	2003
cds-CAJ69097.1	46	30	204	76	289	2	48	145	75	75	82	30
cds-CCA62862.1	0	2	1	1	0	0	3	0	0	0	5	0
cds-CAJ69098.2	368	340	488	438	441	209	420	704	452	643	1098	847
cds-CAJ69099.1	301	365	249	370	404	32	232	307	130	210	314	106
cds-CAJ69100.1	29	43	18	59	26	0	64	197	54	95	129	55
