Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ69858.1	519	454	631	678	592	487	420	1485	1159	1161	1889	1776
cds-CAJ69859.1	360125	565226	246950	879772	296384	91471	782122	292707	584606	709847	426475	217993
cds-CAJ69860.1	17	17	20	13	11	0	7	65	115	60	147	50
cds-CAJ69861.1	290	220	226	210	160	59	204	382	467	684	597	513
cds-CAJ69862.1	112	99	98	73	80	65	77	202	287	449	285	284
cds-CAJ69863.1	71	61	42	90	54	20	49	519	471	422	625	414
cds-CAJ69864.1	228	184	255	185	202	50	219	425	342	247	503	305
cds-CAJ69865.1	79	101	73	68	97	38	99	138	217	92	256	121
cds-CAJ69866.1	24	18	42	54	23	6	24	501	662	539	792	561
cds-CD630_29721	5	3	4	2	0	2	1	11	22	6	34	36
cds-CAJ69868.1	78	56	32	107	37	17	36	562	510	456	688	436
cds-CCA62885.1	97	53	40	94	34	6	56	416	288	296	390	213
cds-CAJ69869.2	41	16	47	56	34	12	27	423	317	328	499	416
cds-CAJ69870.1	486	469	427	885	580	532	709	2014	1385	1927	2355	2043
cds-CAJ69871.1	22	8	11	40	21	4	13	202	180	169	286	245
cds-CAJ69872.1	636	613	617	1058	924	834	875	3829	2825	3479	5400	4303
cds-CAJ69873.1	9	30	24	45	58	29	36	762	548	452	842	941
cds-CAJ69874.1	50	66	67	70	170	69	97	182	113	138	261	311
cds-CAJ69875.1	183	240	275	357	330	287	303	1113	731	681	1231	1455
cds-CAJ69876.1	10	28	16	27	22	31	31	83	85	43	79	161
cds-CAJ69877.1	19	29	27	34	38	34	50	233	173	117	241	283
cds-CAJ69878.1	58	54	68	75	62	22	29	324	432	530	540	308
cds-CAJ69879.1	97	83	79	97	137	36	91	96	135	212	212	101
cds-CAJ69880.1	67	50	85	54	51	15	36	105	147	184	225	96
cds-CAJ69881.1	50	16	24	37	32	26	42	70	80	117	104	70
cds-CAJ69882.1	16	16	18	21	29	10	13	16	28	43	39	30
cds-CAJ69883.1	644	577	474	211	255	232	249	320	464	564	690	1680
cds-CAJ69884.1	426	240	167	119	121	36	123	89	185	153	169	598
cds-CAJ69885.1	434	331	167	107	91	26	137	126	104	170	174	624
cds-CAJ69886.1	355	173	158	66	73	26	127	145	155	322	260	805
cds-CAJ69887.1	1112	674	761	525	678	290	366	546	241	337	410	142
cds-CAJ69888.1	2424	1408	1464	1024	1077	258	763	1043	396	614	578	147
cds-CAJ69889.1	5465	2917	3414	1736	2796	755	1352	1911	967	1103	1276	275
cds-CAJ69890.2	205	119	234	235	249	1382	191	693	832	810	2327	3536
cds-CAJ69891.1	804	715	951	561	808	179	643	1673	1105	1526	1870	1263
cds-CAJ69892.1	1087	975	1627	801	1013	226	809	2383	1799	2037	3282	1844
cds-CAJ69893.1	774	927	2010	671	1711	335	830	2420	1618	1876	2718	1480
cds-CAJ69894.1	4610	192	2365	8694	203	1460	6999	362	2979	10234	433	2879
cds-CAJ69895.1	2326	118	909	3212	91	678	3148	93	1029	4253	105	994
cds-CAJ69896.1	9578	326	3908	13233	347	3138	13174	357	4127	16890	539	3650
cds-CAJ69897.1	268	15	133	473	20	80	409	18	196	924	36	184
cds-CAJ69898.1	6910	229	2484	9068	283	1933	10016	329	2934	13465	432	3181
cds-CAJ69899.1	6208	4260	4499	4828	2635	676	4320	3840	3214	4009	4271	2613
cds-CAJ69900.1	44384	1484	17457	61500	1797	17028	58475	1388	16643	69045	2124	16653
cds-CAJ69901.2	592	147	325	642	228	79	543	274	576	1410	498	449
cds-CD630_30080	219	231	319	294	223	242	224	225	244	276	316	229
cds-CAJ69903.1	799	561	796	586	537	684	452	1194	1458	1826	2482	1460
cds-CAJ69904.1	394	237	323	241	224	339	198	555	711	848	1340	889
