time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
68400	0.453	0.5495833	0.5154167	0.4378333	0.4853333	0.5203333	0.482	0.4800833	0.5851667	0.5055	0.4653333	0.51375	0.5113333	0.5231667	0.4991667	0.5971667	0.4991667	0.468	0.51575	0.53975	0.52575
69300	0.4323333	0.4674167	0.5710833	0.44875	0.4926667	0.51775	0.4815	0.4589167	0.50475	0.56325	0.4763333	0.522	0.5096667	0.5225833	0.4784167	0.5165833	0.5574167	0.4795833	0.5245833	0.54	0.5254167
70200	0.4508333	0.47775	0.5725833	0.4488333	0.478	0.44475	0.535	0.4750833	0.5166667	0.5658333	0.4771667	0.5078333	0.4359167	0.5775	0.4959167	0.5281667	0.558	0.4805833	0.5089167	0.4689167	0.5790833
71100	0.4515	0.4600833	0.49625	0.5044167	0.48875	0.4526667	0.5345833	0.4753333	0.49825	0.4899167	0.5339167	0.5178333	0.4440833	0.57825	0.4978333	0.5085833	0.4800833	0.5345833	0.5194167	0.4775833	0.5805
72000	0.5115833	0.478	0.5054167	0.50325	0.4901667	0.4359167	0.4615833	0.5358333	0.5148333	0.4995833	0.5309167	0.51875	0.4288333	0.5043333	0.5555833	0.52625	0.4883333	0.5330833	0.5206667	0.46375	0.5080833
72900	0.5118333	0.4769167	0.48975	0.4288333	0.5465	0.4468333	0.4740833	0.5345833	0.5160833	0.48475	0.4578333	0.5760833	0.4405833	0.5174167	0.5576667	0.5278333	0.4719167	0.4593333	0.5773333	0.4748333	0.5190833
73800	0.431	0.5368333	0.5031667	0.4371667	0.5445	0.4460833	0.457	0.4536667	0.5763333	0.49925	0.4665	0.5738333	0.4405	0.4991667	0.4760833	0.5868333	0.4856667	0.4670833	0.5770833	0.4739167	0.5025833
74700	0.44125	0.5379167	0.5035833	0.4195	0.4738333	0.5004167	0.47125	0.4616667	0.5775833	0.4998333	0.45075	0.5024167	0.4956667	0.5125	0.4870833	0.5884167	0.4879167	0.4540833	0.5045833	0.5314167	0.5163333
75600	0.4211667	0.4569167	0.56025	0.4310833	0.4835833	0.4975	0.4713333	0.441	0.4973333	0.5578333	0.4596667	0.5106667	0.4953333	0.5128333	0.4685833	0.5075833	0.5459167	0.4606667	0.5146667	0.5303333	0.51625
76500	0.4378333	0.4685	0.5616667	0.43275	0.4683333	0.4255	0.52475	0.458	0.5075	0.5585833	0.4605833	0.49525	0.4236667	0.56725	0.48525	0.5190833	0.5455	0.4649167	0.4996667	0.4594167	0.5690833
77400	0.4398333	0.4508333	0.4875	0.485	0.48	0.4339167	0.5265	0.4591667	0.49075	0.4828333	0.5183333	0.50675	0.4334167	0.56875	0.48725	0.5006667	0.4694167	0.519	0.5108333	0.4670833	0.571
78300	0.4993333	0.4663333	0.496	0.4873333	0.4804167	0.4191667	0.4531667	0.5206667	0.5066667	0.4919167	0.518	0.5075	0.41825	0.4945833	0.5475	0.5173333	0.4785	0.5200833	0.5115	0.45425	0.4983333
79200	0.4993333	0.4689167	0.4815833	0.4141667	0.53575	0.4313333	0.4635833	0.5200833	0.50875	0.4780833	0.4439167	0.56425	0.4315	0.5064167	0.5505833	0.5195833	0.4630833	0.44875	0.5686667	0.46725	0.5090833
80100	0.4195833	0.5255	0.494	0.4209167	0.5360833	0.4306667	0.4486667	0.43925	0.5675833	0.4905833	0.4533333	0.5635	0.4323333	0.4889167	0.4711667	0.5790833	0.4748333	0.4560833	0.568	0.4680833	0.4931667
81000	0.42775	0.5275833	0.49525	0.4066667	0.46475	0.48525	0.4624167	0.4481667	0.5681667	0.4925833	0.4385	0.4911667	0.4883333	0.5036667	0.4808333	0.5805833	0.47825	0.4418333	0.4951667	0.5230833	0.5089167
81900	0.41125	0.44925	0.55325	0.41825	0.47375	0.4861667	0.4599167	0.4298333	0.489	0.5504167	0.4505833	0.5005	0.48875	0.5030833	0.4638333	0.5023333	0.5348333	0.4519167	0.5070833	0.5243333	0.5086667
82800	0.427	0.45925	0.5549167	0.4186667	0.4595	0.4129167	0.5145833	0.4461667	0.4994167	0.5499167	0.4505833	0.4851667	0.4175833	0.5565	0.4803333	0.5115833	0.53525	0.4534167	0.4919167	0.4524167	0.5628333
83700	0.4255833	0.4431667	0.4800833	0.4765	0.468	0.4226667	0.51675	0.4476667	0.4823333	0.47575	0.50875	0.49625	0.42675	0.5581667	0.4833333	0.4950833	0.4603333	0.5125	0.503	0.464	0.5634167
84600	0.48825	0.4594167	0.4885833	0.4764167	0.4701667	0.4094167	0.4429167	0.5098333	0.4978333	0.4845833	0.5084167	0.49775	0.4130833	0.4841667	0.5465833	0.5116667	0.4679167	0.5090833	0.5051667	0.4504167	0.4914167
85500	0.4895	0.4600833	0.4743333	0.40375	0.5271667	0.4205	0.4556667	0.5113333	0.4988333	0.4704167	0.4356667	0.5549167	0.4261667	0.4973333	0.5475833	0.51425	0.4534167	0.43625	0.5605833	0.4625	0.5041667
