time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
54000	0.57425	0.4873333	0.4845833	0.53625	0.6030833	0.53025	0.533	0.623	0.54125	0.4843333	0.5215833	0.5959167	0.5174167	0.5246667	0.4735833	0.3879167	0.356	0.3441667	0.4249167	0.3753333	0.4145
54900	0.4866667	0.5425	0.4914167	0.5420833	0.5994167	0.5275833	0.5135833	0.5401667	0.598	0.4926667	0.5263333	0.5891667	0.5168333	0.5011667	0.39	0.4460833	0.36475	0.3524167	0.4229167	0.3761667	0.397
55800	0.49675	0.53675	0.488	0.519	0.52375	0.58	0.5201667	0.5493333	0.5915	0.4888333	0.5050833	0.51325	0.5675	0.51125	0.398	0.44725	0.3668333	0.3369167	0.349	0.4315	0.4104167
56700	0.4706667	0.45375	0.5396667	0.5256667	0.5305833	0.5745833	0.5156667	0.5233333	0.5149167	0.5445	0.5134167	0.5175	0.5658333	0.5045	0.3775	0.3669167	0.4240833	0.3460833	0.3573333	0.43	0.4085833
57600	0.4881667	0.4609167	0.5359167	0.5235833	0.507	0.5015	0.565	0.5424167	0.5189167	0.54175	0.51025	0.4968333	0.4901667	0.556	0.3923333	0.3773333	0.4224167	0.3476667	0.3401667	0.3578333	0.4625833
58500	0.4888333	0.44025	0.4585833	0.5768333	0.5124167	0.506	0.5608333	0.5430833	0.4971667	0.45725	0.5663333	0.50575	0.4941667	0.55625	0.3941667	0.3583333	0.345	0.4029167	0.3504167	0.366	0.4608333
59400	0.5450833	0.4476667	0.45575	0.5745	0.5121667	0.4875	0.4864167	0.6015	0.5118333	0.4628333	0.5649167	0.50325	0.4784167	0.47925	0.4528333	0.3724167	0.3498333	0.4015	0.3513333	0.3490833	0.3874167
60300	0.5435	0.4489167	0.43725	0.49825	0.56275	0.49625	0.4964167	0.60325	0.5096667	0.4406667	0.48475	0.5555	0.48725	0.4890833	0.4515	0.37525	0.3353333	0.3276667	0.40625	0.3611667	0.3963333
61200	0.4625833	0.5073333	0.4461667	0.5045833	0.5599167	0.49375	0.474	0.52075	0.5698333	0.452	0.4931667	0.5520833	0.4879167	0.4654167	0.36975	0.4353333	0.3480833	0.3365833	0.4055833	0.3604167	0.38025
62100	0.4718333	0.5033333	0.4425	0.485	0.4855	0.5473333	0.48725	0.5301667	0.5664167	0.4505	0.4695833	0.479	0.5424167	0.4804167	0.376	0.4343333	0.34675	0.3199167	0.332	0.4171667	0.3940833
63000	0.451	0.4208333	0.49925	0.4925833	0.4880833	0.54675	0.4795	0.5074167	0.488	0.5071667	0.4811667	0.4818333	0.5419167	0.4784167	0.35725	0.3548333	0.404	0.3304167	0.3405	0.4159167	0.3893333
63900	0.4691667	0.43175	0.49825	0.4898333	0.471	0.4726667	0.5315833	0.5250833	0.4995833	0.50425	0.4826667	0.46425	0.47	0.5285833	0.3736667	0.3641667	0.4041667	0.3313333	0.3229167	0.3428333	0.4446667
64800	0.4719167	0.4101667	0.4161667	0.5464167	0.4771667	0.4776667	0.531	0.5289167	0.4736667	0.4224167	0.53575	0.4755	0.4771667	0.5290833	0.3756667	0.3453333	0.3298333	0.3888333	0.3340833	0.35225	0.4425
